mod_id;mod_mo_id;mod_it_id;mod_qtity;mod_fromlocation;mod_tolocation
31;344;344;8411;HH5P65W7OUA11PT ;M3P96RUDSOY2YBZ 
32;307;307;5155;4M92A1SSA7Y5KQB ;C94W46UY33GJU94 
33;119;119;13922;Q07C4WNGNRI3K7Y ;QA63HBA41ZV4VIS 
34;331;331;11550;1IOVO6PFPDFZ6RN ;D25I2Z2F9R62ABJ 
35;9252;9252;9039;JGB0HG38ZTEJIP8 ;KYCN5WK1Z0U5BP3 
36;9474;9474;8098;8E311G5KBSNRGN9 ;BV5R4LXR8QUQ47T 
37;2761;2761;1849;4KK4VX1LEGVVR6X ;GDKX65FHI4J14X4 
38;9401;9401;6135;5CQRNLW2ARPPTCR ;NLRF5REY0LFF2UW 
39;1397;1397;5859;JIEX447BCINKKAS ;NULL
40;362;362;10100;VNL4XH8JOHT48CR ;74OX56E6FN9Z2VM 
41;2393;2393;9791;PKB9RZV14FF5YBI ;MA2IGDKOYMWKP0F 
42;9276;9276;14861;YKU6QME29V9NA33 ;7SU086EH7L0HIEV 
43;384;384;14744;QKVZZJEVRK0H23L ;Y4SSSDATJZYI9TG 
44;1558;1558;11588;YT5NHLC268ZVQ7R ;8LRA1M2FVKBVD36 
45;1895;1895;10745;CEEDGI0E6YE6MWZ ;QSML7NVUH1H87V8 
46;9320;9320;12957;AWOGXFI57STQJI5 ;4K9XML3C1DW72EG 
47;9701;9701;965;TZ5OP7WGTRHI66G ;TESG7U7KQXS04T8 
48;9283;9283;11960;9ULUIA4XV85NO9V ;BXQST9X5P9JUQNS 
49;1172;1172;10626;TUDNRBG2Z8M6X0Z ;K0FT3R69DO6OS27 
50;5593;5593;118;CKHPWB1IV7SG19R ;5XV4ONMKGMRYBDT 
51;9746;9746;7985;WTPBSTHYEJUANXZ ;5QF4EEWKRGF528D 
52;9926;9926;10375;94A4R5RITURJIZ0 ;1BPTRNEWEUCG08Y 
53;375;375;2971;H1A3AN9I3JBCGRU ;U4J2N3TQ0BD78HI 
54;1913;1913;6205;8X7XYNSQ27IY1XF ;95WZO0AIBIPJ2FJ 
55;8965;8965;627;I4TMNVKLUS18UE1 ;HFAXPBZXIYSGA6O 
56;395;395;13210;ZUBKR3RU9J134AH ;NULL
57;9817;9817;14932;3WUCX89CCM26LKV ;C47UCZBUU1Q4EAN 
58;8;8;284;5GY7LVNFCYC4UHG ;RUPS6KIX5YGP7U7 
59;2030;2030;9878;AV5XKP4RLZ750L8 ;US6Y7O6H4G3OKVJ 
60;9598;9598;279;NEYOCAJ89F0ZV5I ;B7OFGVRSL9PDJLN 
61;125;125;14573;5IVPFY3FC6LMNHE ;TL9L3OD2O8NQHTD 
62;411;411;364;QOGGIS70CWO5P5V ;E8D06SOY1DDYZSY 
63;198;198;11263;GC0IPI9PAIB5OXL ;T3VZLY4MTLR880B 
64;213;213;12529;0987O2DDAVDI9YQ ;WEZA7NT1XAKPBF3 
65;372;372;406;B55BHW07EQ50G2C ;94XDYDPG4R6K0FQ 
66;9824;9824;643;BW4GWOREZN7U4RG ;2L1LTOB69U2ADEA 
67;819;819;637;R4UIR9A480TYXCW ;IWZ33XTJOI5GG90 
68;1053;1053;8613;JY6DTAAMERBUO62 ;KKNQDH1KTR44BF2 
69;1096;1096;9262;AS8C7TN1L07VVSH ;GS24FNW4SIWAIVP 
70;9882;9882;14108;QZB6L3JHT73ZYGF ;UKQTQJ00UEACTP7 
71;983;983;5197;Y6N43K0PA4RT3FR ;GFZO6W2WNIYVLQ2 
72;9425;9425;12724;AP3PUW179RI0PO3 ;13AQO9ZWR290DKB 
73;195;195;9299;K5XO4CI6YMVHBPE ;AMU3V1TXIT67L5F 
74;1751;1751;1883;GIP8DQ715GVC20Z ;CCAPFHL6F2W4M1J 
75;2711;2711;4621;0M9XH2GY6XQ81JV ;7VKYVZ20AC8V3RB 
76;9498;9498;9613;D3K7ZURTXWJOG63 ;M5O09LNT1ONT5PB 
77;9765;9765;2618;M8HOGGWD1Q2F0ZZ ;930PKG8D9AF39P3 
78;5195;5195;2315;KCYYGSN5UF0LISI ;R9HHCJTM8RX7C9V 
79;733;733;7134;TRMT272X6668SCT ;0RLZRL16WBQY6KK 
80;9573;9573;9528;WY3375ITLBT1FBU ;KY1V7T4Q9EHTJ11 
81;9971;9971;10910;81L8D6IDA1R9MEC ;FU2I34X57AL1SUF 
82;9881;9881;7669;L2PKOETO9S8RD1H ;6LND7ZD6MVQD48N 
83;488;488;2818;CX0RQKKPGQT5E86 ;AQJCI28G1WOW83Y 
84;9757;9757;3935;ZBFCMAKU8XYKYQZ ;YUMYDNTFGVV8DK0 
85;914;914;11737;JVXPELR0HZ3XKNA ;NPR2B354D7BABGX 
86;9772;9772;13036;L1R2L491C5ITM0Q ;WBEALPHMX3VM6Z2 
87;2136;2136;2183;RKLIAHRDJEUM7M9 ;VO8IBW3UOIK6BI4 
88;241;241;7717;NXYXZXNFMWC82YE ;XBB25QEY84477IY 
89;15;15;10923;8D6Z1SQ4AEI69MU ;5UFM7F707JL34BA 
90;1607;1607;10829;WY6O1TQTX6VE4IB ;ZWOUNZC5AAA6RWM 
91;1494;1494;8167;0DDTF9IU7UMLEH5 ;J71H2HRI4BVL4AT 
92;9637;9637;1564;1NC4RQFFND2VWBZ ;UP8BT3Q5H9CX419 
93;170;170;11258;2W6W81AMFBG765E ;WFJX9SCH46QC4Q0 
94;1325;1325;5579;0VDH66T9XY627NY ;GCC1OBCGGVZT4UD 
95;258;258;10528;UVIIA9R0CQPG988 ;2KOPRWN1DQ7NCE1 
96;814;814;9427;YMU1YILV2WYAV7F ;9DGRO7ML22GESJD 
97;9784;9784;3598;DLDBNW4R3C4FHD0 ;SN9J1B8KPAOY3P3 
98;3723;3723;2215;QO4KSWXBAMFEAH5 ;U8JRDLDUX3MOF98 
99;9354;9354;11181;BX3OUWU1I3XLE5E ;DXUO4HPY4W2EJOH 
100;409;409;10101;W9J63UZGN110HQG ;ZEJKZLW6AFMYOJ4 
101;1069;1069;12320;7Z4KABVTT22OYCX ;1TL6UFXCILMHJZA 
102;9852;9852;7352;8PH1XY2GXM1SVTK ;L9P0POUR0NEOVR9 
103;328;328;2698;MBDE0TFKEPC0SBI ;RMCP3BIKG72DYEN 
104;9660;9660;11519;4WSR8FO8XNNOA2Y ;4CCFU3QDYT5608H 
105;9689;9689;9922;IA1NZI3EAXN7L1N ;B1QWNK5AQ5KIMGT 
106;2511;2511;10261;3QOZ1SI7M4HD5R9 ;04KIFUQNWYQ95BJ 
107;9912;9912;1076;RCIH9UBLSDHBSGM ;PB1WORNJ62OPJ7R 
108;645;645;1087;Z1KJEYYPRU1U0Q8 ;0J6WOYBHA3ZOUV4 
109;9724;9724;1584;NBG9I6C9F27NA7E ;LCSAFWX9G0BC613 
110;846;846;6015;HMD47QXTESPETGK ;689M5NJRZKMLRYP 
111;9936;9936;10591;4YNG0DCTPA3BRAF ;X937EG23LWFOMYB 
112;981;981;12616;FVCED4BXENUQGXF ;ZAHLMI9XS1AUACH 
113;1519;1519;8150;H5ICKY449JEWML1 ;A0FWXVAP55088U4 
114;9210;9210;350;D5ZX35O0MP2DIMD ;9DLHH4OF05ED68T 
115;71;71;4370;V4UMR2ZHR85TQFB ;FXELJFB3ZRFGI0P 
116;614;614;6904;LRDAYIVBHIPUWQL ;W9LXQ005C0VRHXJ 
117;294;294;12547;6M1IRFBA5H6V0U9 ;CQTAGIIU1IHPP8W 
118;1079;1079;7327;E8SR92TC8I49D5L ;GGGWMWIEW89IJJM 
119;491;491;792;NIN3ET26F24GC0B ;7I4R6EHDQRV8JBG 
120;1400;1400;2371;8HFNYUD3SO98A2W ;3VB1GNAF8FE89ZA 
121;9599;9599;13460;W57H66TL6MB6YD0 ;VEH745U1Y25V19V 
122;1464;1464;7920;6H0VPX1S4KAPJTV ;R5FO7LMK7OJR094 
123;125;125;12691;64J6SUG2OUGCJ74 ;GCC4U9ZY1A2DHEE 
124;9764;9764;13433;N02S20AY4ECLV31 ;KTG3JMAASWZFM20 
125;215;215;5940;QX0TTUGC0X7VHO9 ;YEEOXQQH5HNXI83 
126;751;751;3632;FU2JR2B5UL1DHV6 ;AK66T07U22CXAKC 
127;9472;9472;1465;S3ML6BMTKPR4TEH ;9EF30P1U3ZY2ZCS 
128;9525;9525;3719;4F510IMNMVZ7S2V ;T641VUVX6KMVDT7 
129;332;332;6356;RL3D2OR479Y1B6B ;5PO4SZSLJC3T25V 
130;1036;1036;10194;3M82P5KAHYYBCE0 ;AT33FA2FIIWF26G 
131;955;955;6014;UMD8B3DGN1TRJKC ;SCX9ONQUEJIIQ1V 
132;1952;1952;403;JJ36TSFL0SW3QFS ;OXKJP35UM9LA2CI 
133;343;343;6134;8G6OT3409SEOCTQ ;WT1P7L0M29PVSJO 
134;525;525;12033;MISSBTO17R7I79P ;MVQ5LWKO63NE2FR 
135;349;349;12209;80I3ENMFF3X1EQ9 ;15MXZ5T3WYHFDA1 
136;1537;1537;3557;2ZH8N0HFS4H1WLT ;L4N7LDRZ8DI4YMK 
137;418;418;4970;25GBANIYVCC7VMN ;IOUNWRHH1N8MF4A 
138;9754;9754;6300;IZG7RHL8I3A96LJ ;1JTXRJFNDNOMNP4 
139;597;597;9014;AXY8AXXEHJCANAJ ;ETXPFE6UM65Y54K 
140;125;125;1475;H0IW4L8LK7T6C8R ;2L2FSMVY87992UT 
141;14;14;11960;TIWYNE6L22P74AL ;IX8L7LHMCZALEHI 
142;972;972;1096;K5S52MPOODN23Q2 ;2LK1MPIRYYG84XR 
143;1115;1115;6133;S2H4DLI3UXT2W1H ;CTF7VYVH4F2SBAK 
144;1499;1499;4907;MLM7GL76S89AQ4H ;O06GASOSFGN848I 
145;9390;9390;237;ZGF1SGUZNOB4TNS ;7I8K1BD4P2W7NPG 
146;9676;9676;10551;WDFI4VS6UAC4B7C ;EPJ4QAHK4MREBMC 
147;262;262;8414;FH2GLFH5QNJRA3D ;XNKS20PDM2R7VH5 
148;87;87;10908;GLDDOZ84N96I4PN ;0YUEODOX1NFEJYT 
149;9869;9869;1209;CLOBKC2GV9SGB1W ;P09Z4NMDZ5HOJ9O 
150;795;795;3624;X6OQUZ1G9XSC8Z1 ;H1ECRY7KYNRELAU 
151;564;564;11881;04EOE1K4JWHE6RT ;9PHU85LCCHFJW0D 
152;9399;9399;11271;CFKX1WLDK72NJP8 ;ZRXHJGARTP0HW7R 
153;2726;2726;1422;8RG6M7CVMJ7XHM9 ;BTFURTEBG2ZAJON 
154;732;732;8810;36ZTF3Z3J136YXK ;9ZETDD4SEQ1J43F 
155;1374;1374;11642;OM6FANZ52OAHPOV ;PQ73LJZ5DM0HH08 
156;2156;2156;4399;XLJDPEG4SDNK36X ;127WSYBYOMF1SV6 
157;606;606;9661;ZD8VGU7G6URQSHE ;MUKSGKDP09GQCMB 
158;229;229;4266;668DD73951NXZF1 ;HWH2VJCRE9EY4XD 
159;524;524;5578;RLIBF0H3D26VNQB ;GNVMFFOGPIVJILM 
160;163;163;6289;ZSEXXJBR9YPE6AH ;B1KWD3G2ITE66EL 
161;2799;2799;8796;TUY7Z2E6O5ZB18M ;WYAOROZ171DDNS8 
162;2310;2310;12357;QCX603Z89R2HA2W ;NCM2CH4C6S4L1IA 
163;1046;1046;9731;LE2SR3BXD89SJ0Q ;WSNKBXAN1IOCQ3F 
164;971;971;6390;CAOUCAQPVQX8ZXV ;LLJTRIQETXHYJE0 
165;2129;2129;1;8WPM6TNM10SSU6O ;Q3HU4OHP2Z1USRM 
166;942;942;10188;115ZD2RANCX163X ;DE0FYGID28QDGB3 
167;1028;1028;6482;CMJNA3UJN2SBHYV ;HZLNLKLW3TRSHVM 
168;34;34;11117;1O6YSW864FYTVLG ;ADK5ELQAK3RVY39 
169;108;108;3142;3CG7N0YX6LBBAGS ;WDCS6ZITT3B4PQV 
170;9418;9418;812;G8ZHWYNGEDJV40N ;MO32QX9W9B2HSPX 
171;923;923;1933;MT75IO10Q9S6KXV ;K0V4JTVBVRBA9LK 
172;1038;1038;6246;M9CNMY25OZTAH3S ;7K9906ZY4FJVW00 
173;9655;9655;13314;Y9PG8N7S7YRM6HV ;5CKOURNTTR7ZMZN 
174;9973;9973;14318;HU8VNZGNR2GIUQJ ;Q897GOYD1WZ3A0F 
175;1267;1267;5412;GM7B8FGZ1KFN6FZ ;R74X1WZGXFG9Y0C 
176;9458;9458;12363;4CTNUXHYT1O56PX ;SV4ORSNHD6MYSJJ 
177;1118;1118;1786;F46J9K91E8U3JSH ;BD7EUQMT8TA07PF 
178;1065;1065;7784;38DIXVSJ48H6QAS ;KUBEVR3YJMJU91N 
179;5987;5987;13195;MZ828FYJ3R8L2EF ;WNXLSYA18AGXIN9 
180;476;476;10390;KC2YBEJJBNE022A ;RLEX74XKA8U86SJ 
181;226;226;10218;GIHKKE3NATF6N6G ;5W3KRU8LJA5KB6G 
182;1626;1626;5558;THME8U07GORL1XH ;NULL
183;9688;9688;2510;H55KWUF59ENHYDW ;CV3ONP6RPDBJ32U 
184;3174;3174;2732;7N6LFWVLI94WNHM ;Q9RLJOWXCSEXZD9 
185;9987;9987;13314;CEPI1VTZ1H4T6I8 ;SYVBOVIGPBVDIPI 
186;448;448;9743;SMEDRVLK9K2NPJI ;FPT1EUCNZ6CVB9S 
187;9897;9897;13982;SB5KOE3BT7KXR1E ;47R47JRVQBW7TIE 
188;682;682;12325;013138LGT48GT69 ;9XIAJ7PXM7BIJN4 
189;9560;9560;391;YC1VDOEEI2JJBNT ;IJ9BYD9VXYA3Y4U 
190;9982;9982;7809;52MOGHOJQORJ5MI ;RPLERISWHTI088C 
191;944;944;8897;Y3ZEZJNCMPI0P15 ;6GP992OWNMCLWLZ 
192;9289;9289;703;A0BRJL1HNI4OXV8 ;CVRU1QPZRCT4U9N 
193;321;321;722;KVL8OE8MEA1QZOU ;M6WIFK7O0PR466Z 
194;207;207;2724;JL85BQ4D1HQHEYE ;NULL
195;1034;1034;7680;HMGTGXGWSOC9JBI ;U1NCHH2GQPIW9K2 
196;354;354;14603;NG5BM2KTR867NQ7 ;ZNZQPG2SN2UCYKT 
197;256;256;6365;V98C818L5CDMEVT ;DX9TMA644GRQ1BF 
198;289;289;0;ZQUYS25E1M17Q88 ;MD5I796DZUOFNQH 
199;9568;9568;14744;HWD925RM7J69PYF ;VYJBA8QOHUL8PBQ 
200;790;790;4906;FF8WW9NS4UBLZ0V ;MEPKFBC3QWTRMRH 
201;9758;9758;5050;3B5HHJOTZ7Q9WVO ;YLU3R44DNG1CNXO 
202;909;909;4069;64SA0B578K58U5N ;4BT80WRKLGKEFY2 
203;1215;1215;12298;O96ETXEVREXOIEW ;D794GNLH9BXYA0F 
204;1113;1113;7766;58FU7KVS5X9XEGY ;86NAY8D2TAHBJQY 
205;3207;3207;397;KJKNPA98PXJLDHO ;EBYGOJ6GQBYPZS9 
206;121;121;1690;NV2LQSZ4DD8VOHH ;0R68BSR4U7A569Y 
207;9933;9933;5634;F44YT9KUY75A09E ;C9KY1Y4OZ6JMAO3 
208;327;327;12958;8E9IDD3RKG9B1EJ ;0WBSKQCLKUMG90A 
209;9551;9551;2104;G969CP1EB7NINP3 ;DFCP8BJ1MH8584U 
210;3541;3541;3397;ZKM97YW21CECZ8T ;495AY5YMWYE7COF 
211;382;382;14280;NWTR34BJDU66PK4 ;V29UBDTPC952H7D 
212;1624;1624;2613;D5BHRA0HC380BOF ;ZGBZV0J7GQT9XCP 
213;9565;9565;1877;E2UQVC0U83VDRQD ;2A96VZURGFXO0V4 
214;6340;6340;0;7KZUWBSDWCF0WB8 ;LZ8VCF3VI1DLJJR 
215;934;934;6071;F3RMPEZ15G8OENQ ;K607Y6JZMKJF2U6 
216;9736;9736;10189;QRSQPL62AHUJXZY ;L5OY3TLN6ENUM97 
217;9855;9855;11071;V6XNYQQTLXOF24Z ;NX4TVXQEF89SVNS 
218;116;116;3237;LTA4IHZUXPC8KF3 ;USZEVTWRLD0KIPD 
219;2409;2409;0;IBS7P2MZ1Z5RWQZ ;CNS5PDPOE9IUJTR 
220;585;585;9847;ILX3OTEE73P9DH9 ;LZZT9T1U0D8IX6W 
221;9669;9669;6999;UIXRBRIJ6A3JB7Y ;VWF8VMYH2BZLB17 
222;9836;9836;8077;P7QYH0GOXE0MCDM ;LGYJPJ3JLY4C47Q 
223;9804;9804;5258;Q0XDS8UQ2EXEQU2 ;CRZNEJOZ0HQYTFI 
224;2360;2360;11206;5IK6RANT19TWQW6 ;6GXG7C1CSVMXHMC 
225;9454;9454;9157;OJTBAKEGCZV322X ;KR8J2JD1SYI7S5Q 
226;4489;4489;10726;C1HUTFSFC3BJEX0 ;F56O9A00QMVJXRH 
227;2198;2198;10333;74Q61RPK43TREKQ ;5VD26ZWM3WN9UTJ 
228;82;82;6916;BRKOECZ8RDY68U2 ;4GHCFOL9Q8TFOT3 
229;9511;9511;1229;ZPVYCQ0KCXPQM11 ;H32XSOZG8JKDMR5 
230;186;186;5524;CC8NDBSV4HFOTJB ;28EH95YG93CX5GX 
231;3781;3781;10589;1ERPOSMKQ0CHM9M ;SMSRQMUGG13V48M 
232;935;935;6638;C5TWME1OX0TUBCQ ;3VDGEMRB4MNOC2A 
233;341;341;5809;LGP7AC4KPNWCYA8 ;NULL
234;553;553;5997;VPBNPFMMC3RNYS9 ;MALZZE6GEY0822C 
235;9825;9825;2043;9JV5KEF0186ZIOP ;GDUA3GV5VGM4Y54 
236;9908;9908;0;SYYL0336U2U7KGM ;QA9TMMZPPW2GMI8 
237;202;202;2877;EH3EE2BHABMH8N3 ;AM7Y80O5FG4IR2H 
238;27;27;8144;D5VZTNE6GPAHJ8F ;TLHRTIETE4K6EEI 
239;710;710;6320;M8K0LA7PNHBOGMX ;7LTCY56QM3E6IGX 
240;1860;1860;12921;Z6TELM4R3XYPRTX ;FUM01H7S7EK3FHQ 
241;6240;6240;12792;V1V02322X6BBBPP ;XRB684AOFQ4P38B 
242;1563;1563;2112;S3IDF0ZZ3TWOCIX ;6YRKSIBQD14JK3A 
243;778;778;1041;KASFRW4V4RHEBTF ;CE9Q5REAJYLACIO 
244;3466;3466;7680;74WOBKMU2VW96EQ ;2NWHP68EGKT60Q3 
245;46;46;11786;8HQ1W92WYM8NJKN ;GZDOZKSFKG0TX0E 
246;1320;1320;11877;EIG7M8I0OXDV0VO ;C5HX6TF66UAKY7A 
247;655;655;8928;115T2DIX20POBYB ;V8UC400IUHX95EH 
248;9760;9760;1112;7LUOXIT0ZQDYW6V ;6YTU955MJ6I4A7H 
249;1477;1477;5196;XIMIEU80ZI4LJTP ;67YO51QC5Y3PW60 
250;725;725;7019;MVNE00SI85UBZJ1 ;CTEZDGKP38SYHV8 
251;9566;9566;9632;4MQSBT3DDUOFD7H ;0K3YFTA58GOA2GQ 
252;271;271;5534;1OB1JG2XP4980W0 ;6QRGTHZPM9LX8RV 
253;9402;9402;6653;H9HW3WDTSA16BD4 ;QGPB32CJJ9RWR9M 
254;128;128;4442;OPAB8ZCNKT37JUD ;HFSR3RTILDB67CW 
255;727;727;4756;T8Y4PK25AH99FWM ;LEKMREA3D8XKQ2Y 
256;2621;2621;14367;07JAMP8HXTBAS6A ;MYFTZ36YM6QPQ5B 
257;964;964;6666;WLD2FZB4N41QP28 ;CAACP0U35OEVU8S 
258;9625;9625;14649;6Q7BA2T40G6W8SC ;FZK9X3HI7LZLNKD 
259;3001;3001;8845;7CCUIKW0WFNINHS ;WQ8FSLNL4CNBPB3 
260;617;617;9912;LN31ZYMUR92ZSFV ;E8ARL298TR5309F 
261;308;308;1571;SWIDPD5MU6FVEBG ;A6Z30CQTCY4KF5T 
262;9626;9626;12433;OCAKOA59PI29HX7 ;IM6F9MMTHZL0GJL 
263;144;144;8482;KSQQZE47IH7SIRF ;W30JCZC1IHEMXOT 
264;648;648;460;SJBG4A6HR9O7AV4 ;Y9LE20BOJ5M1RQD 
265;2125;2125;109;ZYALLPJ972262CQ ;D9OC5AJI95XS7ZV 
266;253;253;2368;2NHYMQCAL8ZPPXW ;5X17Y6SVRBZ6DBA 
267;9264;9264;10467;CBSKGTU3019270E ;3L9OZGHOP24X3JG 
268;651;651;12588;JQ4NE6A9M00CQTJ ;9SWTO6U6HSKTBD5 
269;518;518;8282;5ETRK6H9SDXKG92 ;V5OLQ7TOFDHV1VS 
270;716;716;569;UK6ZS8961JXGTHD ;VEWKFH3XR267VOD 
271;9793;9793;14001;HZWT6NVD9VV08PS ;X61XVUU2Z7DAOZ4 
272;345;345;12928;YEI6NKHW5NQ081F ;ZCYWGKJE1QUN0MS 
273;9665;9665;0;ZR3GD9F6PTQWD8Y ;05XVTVC0KUL73S9 
274;9364;9364;3868;RLHFZ7IXIZNIXU4 ;XK7JPGVCNNW4061 
275;9532;9532;13151;GK0GLBYPYBHTTKJ ;ELAI19S4ZYBMZBA 
276;660;660;5446;PE9MJZBS85YELW9 ;G2QGE92JAK75Z7Z 
277;1152;1152;7734;OIGT7HPFMSGNQO3 ;S8TIIRQNR3JQ59D 
278;731;731;5957;FPTILIOG888GDJ3 ;DMNXFLY4IQ8G2N5 
279;696;696;396;2M5B4QQ8OTZQIO2 ;YXTQHRRPC2OBQCE 
280;150;150;8473;21ZW2Q86TZKY892 ;7VRCJ2Y7AP0RJ9L 
281;893;893;14329;PEL3JSSPZLUSIYX ;YRR7GMUMVYLDWND 
282;413;413;229;5ODCK6ZBDZH55RZ ;C796VT8WYMGSRZ6 
283;169;169;9614;RW033Z0A89WHVGN ;HKDZK6KK05GLGLA 
284;47;47;5137;10TKWQIJF9PKBNK ;BTEB0E84JU9U52U 
285;16;16;14897;MG1MYTH6N33BAHF ;RIVC9EL5MO6QCMG 
286;1811;1811;6597;BM35YEH0EHOT9GZ ;BTHXLV22B8GPXQF 
287;804;804;14991;PNUFF1X8IMWSM68 ;AKUYPYDX89OC8IS 
288;665;665;3936;US8OKEA7Y08G5NX ;EWIBLXAVFS01XV8 
289;602;602;2196;4JMMNZHAOVMBHPE ;98FSRHNCGJPB6QU 
290;1002;1002;1052;8QYH7A0ADMGFTG2 ;GJB173DD9YIWYBZ 
291;333;333;6631;OPO3KMAUAY0ORYQ ;1S2Z2Z5X86U17YP 
292;178;178;10377;M08FPFZUIB80J2G ;X6LEK6O5V2ISYQD 
293;9838;9838;3229;TRNS0AMMF4699BJ ;KDADNURGEDS18B5 
294;3562;3562;14300;W7TS8M58PTK9D9B ;9TYSQLRU3X40HDY 
295;1515;1515;11408;HRV0BY8BEMZK8QK ;TQGUOB13F506ENX 
296;1754;1754;11349;SU4C8O06LE27QC8 ;W8J4RLEZLG9QQQY 
297;137;137;359;SYSIGJ3YYIDMNLZ ;EA7IVBMXRVDLKKG 
298;389;389;8631;9EHJ5ZZSRPEXV1K ;0L49UUQ7BG982BD 
299;9738;9738;581;DTRAX2Q9Q5DQAEI ;6ZR3FEOKLLCV7TE 
300;1428;1428;7570;E2YBVP0TZZRQ462 ;ZTQ4MP6KJ06E2DV 
301;9888;9888;9418;XB8TTP16N8SZL8H ;IOFLSC0LXJN8HUZ 
302;317;317;1410;6DIT286NTYBYAZ4 ;2888L82GS7JF79I 
303;12;12;11340;3GTZ5O7O0RONW08 ;QWDJET7MS4622Y3 
304;56;56;7831;HEJQN9UO5L0VE3W ;0OBT5MUAMYTLSLD 
305;9927;9927;4627;48W5FI7H6USBKJQ ;1FHKHG490MFG1ZD 
306;9786;9786;8019;QKGWGDWTL4TKOCA ;3UFJYO2323XFZMT 
307;63;63;11705;V0IO32AZ71KTGI3 ;RJ1NGJ7JJ2TI7D8 
308;9827;9827;1665;U65TNZ7QB2JBPNT ;KZHX5UPDCEIEJP9 
309;337;337;8503;KVGK02PNAHPES3D ;S7PIYQCKMWZVVJW 
310;9972;9972;13997;07PH6G9VSRD0IYA ;VAU04W2WTOB20TZ 
311;4442;4442;12023;8P9L2JLSHHI6ATX ;TEQZNPOUMXB9UUH 
312;831;831;8409;PGAHXBN3LKR8OO4 ;ITJ9U8AW5SOAFAJ 
313;9614;9614;6270;NULL;W41GTX05LZD6KS2 
314;423;423;6176;7553UR0HMX0PX3L ;6IK7AQ0K3UTV0EF 
315;1584;1584;9516;U4B1OSMX25ZISC3 ;EHDPS1ZKTDNUV4B 
316;9909;9909;9683;C7Z5OUEYGTV0AY6 ;QP4WQCI54HDY355 
317;206;206;6958;ZSEKD2NEI71ORIP ;K1S3FC64JZDX25P 
318;1365;1365;7296;T8DQ4GAZQCLVXLN ;JG4AAIL1Z7LBO1H 
319;2251;2251;8585;ZIJZYJE9JKMGTP6 ;8G9TB8XEIZDQYK2 
320;9453;9453;8863;4L72LFDJHFT0HSG ;RDEN0UX2FQ37RVG 
321;3214;3214;118;KXP9YPB9U36JTU5 ;IPPMVVOBIQRA4V2 
322;9113;9113;13433;6MRBELJJ4ZHIQDR ;5MJAMUNDJ7DK4QN 
323;298;298;8271;3PVW0XZEAX8H9TP ;IV89VG3WP34A2MX 
324;600;600;11535;9SUU05IZE55Z8SJ ;OO25C6VN2B2OI36 
