std_id;std_st_id;std_it_id;std_qtity;std_remainingqtity
148;87;87;2523;1065
149;9869;9869;2884;1584
150;795;795;4184;1514
151;564;564;171;2676
152;9399;9399;2301;2532
153;2726;2726;1406;2742
154;732;732;4428;2570
155;1374;1374;559;2210
156;2156;2156;4798;2977
157;606;606;169;453
158;229;229;981;1554
159;524;524;4937;2483
160;163;163;3849;1546
161;2799;2799;2630;688
162;2310;2310;1551;986
163;1046;1046;3656;2807
164;971;971;2682;1357
165;2129;2129;2708;2711
166;942;942;3410;1758
167;1028;1028;2711;254
168;34;34;1550;1483
169;108;108;1009;985
170;9418;9418;2671;880
171;923;923;4579;295
172;1038;1038;3910;1987
173;9655;9655;1058;1146
174;9973;9973;4493;372
175;1267;1267;3016;2630
176;9458;9458;3056;2786
177;1118;1118;4843;399
178;1065;1065;0;510
179;5987;5987;2514;2036
180;476;476;562;690
181;226;226;4361;546
182;1626;1626;2757;2553
183;9688;9688;4819;1348
184;3174;3174;414;1484
185;9987;9987;4950;2187
186;448;448;2504;427
187;9897;9897;3102;1158
188;682;682;1692;425
189;9560;9560;1550;119
190;9982;9982;1226;2043
191;944;944;3857;1773
192;9289;9289;4701;1292
193;321;321;186;1959
194;207;207;4341;917
195;1034;1034;259;738
196;354;354;4343;825
197;256;256;2427;610
198;289;289;480;2597
199;9568;9568;4326;1600
200;790;790;3130;102
201;9758;9758;1619;1713
202;909;909;0;388
203;1215;1215;3170;80
204;1113;1113;4229;703
205;3207;3207;1513;1219
206;121;121;213;689
207;9933;9933;4606;1385
208;327;327;1261;2369
209;9551;9551;1243;2941
210;3541;3541;1913;2424
211;382;382;1412;2577
212;1624;1624;2503;2943
213;9565;9565;4956;2519
214;6340;6340;2656;1793
215;934;934;418;1000
216;9736;9736;576;1135
217;9855;9855;1092;2639
218;116;116;2812;1323
219;2409;2409;1136;2171
220;585;585;3706;2284
221;9669;9669;178;599
222;9836;9836;4606;2829
223;9804;9804;1717;1364
224;2360;2360;1161;1942
225;9454;9454;324;2108
226;4489;4489;2153;2003
227;2198;2198;2970;27
228;82;82;4392;229
229;9511;9511;4569;2635
230;186;186;798;1805
231;3781;3781;150;2176
232;935;935;588;803
233;341;341;2576;1911
234;553;553;517;1934
235;9825;9825;4385;1977
236;9908;9908;3944;157
237;202;202;1190;2473
238;27;27;3528;644
239;710;710;3305;265
240;1860;1860;201;1498
241;6240;6240;344;2042
242;1563;1563;1242;1789
243;778;778;1859;485
244;3466;3466;4780;696
245;46;46;137;2467
246;1320;1320;3723;1830
247;655;655;3902;1774
248;9760;9760;2044;165
249;1477;1477;4769;2918
250;725;725;3765;2603
251;9566;9566;4167;1186
252;271;271;1530;2288
253;9402;9402;1291;425
254;128;128;1775;2316
255;727;727;4148;2503
256;2621;2621;3524;1885
257;964;964;4902;2025
258;9625;9625;2009;0
259;3001;3001;3905;1138
260;617;617;4361;1596
261;308;308;2243;2216
262;9626;9626;213;661
263;144;144;1692;1156
264;648;648;445;2735
265;2125;2125;1763;1135
266;253;253;824;248
267;9264;9264;4927;1774
268;651;651;4439;1031
269;518;518;3272;584
270;716;716;1474;2817
271;9793;9793;4386;842
272;345;345;2565;1662
273;9665;9665;4507;1994
274;9364;9364;934;1057
275;9532;9532;3362;673
276;660;660;3936;241
277;1152;1152;2747;1811
278;731;731;1938;2344
279;696;696;1023;667
280;150;150;1601;2476
281;893;893;3252;277
282;413;413;926;229
283;169;169;4624;2862
284;47;47;804;311
285;16;16;1632;31
286;1811;1811;3620;618
287;804;804;4298;2888
288;665;665;801;377
289;602;602;1369;2596
290;1002;1002;860;2432
291;333;333;4043;91
292;178;178;4182;1133
293;9838;9838;4623;1334
294;3562;3562;3945;2048
295;1515;1515;2958;1049
296;1754;1754;130;836
297;137;137;4550;885
298;389;389;1413;2055
299;9738;9738;3017;2350
300;1428;1428;4314;448
301;9888;9888;3796;692
302;317;317;4464;798
303;12;12;3773;1189
304;56;56;3294;349
305;9927;9927;4379;2076
306;9786;9786;1602;941
307;63;63;2024;2192
308;9827;9827;356;1230
309;337;337;3413;2753
310;9972;9972;211;2075
311;4442;4442;776;692
312;831;831;2963;2541
313;9614;9614;985;1357
314;423;423;2304;1663
315;1584;1584;1108;1319
316;9909;9909;1317;1987
317;206;206;589;800
318;1365;1365;888;845
319;2251;2251;3814;2703
320;9453;9453;3143;517
321;3214;3214;1526;360
322;9113;9113;4126;1397
323;298;298;3069;1436
324;600;600;2411;1153
325;9851;9851;2432;2725
326;11;11;203;2709
327;350;350;2942;327
328;5;5;562;2947
329;9795;9795;2977;7
330;5015;5015;3231;2837
331;402;402;4387;2357
332;356;356;1333;2756
333;9510;9510;3922;2994
334;1777;1777;1710;219
335;1803;1803;2805;1783
336;1390;1390;3789;2479
337;275;275;2154;2041
338;249;249;1330;2513
339;5058;5058;1426;1236
340;8669;8669;29;2091
341;216;216;1596;1426
342;9640;9640;3942;1657
343;9634;9634;2388;624
344;6511;6511;1158;520
345;171;171;84;1740
346;3227;3227;1079;551
347;9921;9921;3197;2776
348;9301;9301;2319;2671
349;192;192;2836;728
350;279;279;1641;2063
351;1693;1693;4541;36
352;9550;9550;3662;40
353;9895;9895;2600;2353
354;9670;9670;4874;1833
355;9432;9432;2787;87
356;859;859;4671;2296
357;1688;1688;1394;2362
358;763;763;1361;35
359;672;672;862;624
360;734;734;4175;2367
361;9711;9711;3661;613
362;48;48;1461;2246
363;9989;9989;2380;1222
364;1470;1470;182;2916
365;809;809;825;2719
366;9802;9802;4443;936
367;938;938;4042;2547
368;586;586;4275;1138
369;891;891;0;2881
370;9624;9624;4499;1841
371;9659;9659;2320;2947
372;231;231;4164;1287
373;2484;2484;4260;2609
374;599;599;4463;611
375;3324;3324;3784;2091
376;533;533;1547;1703
377;1910;1910;2585;772
378;89;89;1738;916
379;1281;1281;1911;2414
380;473;473;2327;2174
381;9540;9540;1352;2934
382;9690;9690;2007;656
383;339;339;622;2218
384;1342;1342;2726;945
385;646;646;1335;2801
386;537;537;3690;2316
387;391;391;725;403
388;9863;9863;3733;1161
389;322;322;4049;131
390;83;83;3924;2488
391;126;126;3135;116
392;7763;7763;2394;2005
393;587;587;792;1888
394;102;102;468;1869
395;123;123;2251;0
396;573;573;1369;1478
397;93;93;134;2181
398;1376;1376;1561;435
399;9231;9231;2205;708
400;359;359;332;802
401;2167;2167;641;803
402;432;432;2037;1004
403;115;115;3922;1638
404;1423;1423;2821;2791
405;217;217;516;1888
406;3699;3699;2478;2117
407;1186;1186;281;1749
408;1963;1963;4200;431
409;812;812;3817;1741
410;1081;1081;3326;2742
411;101;101;201;1385
412;2243;2243;2933;1523
413;1049;1049;4484;1446
414;9854;9854;4034;622
415;1366;1366;4510;1451
416;436;436;2167;2434
417;461;461;3038;2957
418;2771;2771;3735;28
419;9595;9595;1044;277
420;125;125;1493;115
421;1137;1137;100;402
422;3529;3529;709;533
423;9606;9606;4994;1386
424;827;827;351;1007
425;1108;1108;1363;392
426;277;277;4926;1725
427;901;901;3371;941
428;355;355;3792;2400
429;2871;2871;2211;739
430;1339;1339;2415;2134
431;9691;9691;1413;2911
432;2666;2666;1023;1268
433;539;539;4533;64
434;2648;2648;1578;113
435;51;51;1685;1610
436;949;949;4316;1170
437;194;194;3086;1296
438;31;31;2802;866
439;839;839;2210;330
440;201;201;3858;1829
441;107;107;3408;1051
442;151;151;0;1885
443;887;887;1525;1662
444;9887;9887;4917;1420
445;143;143;722;1747
446;822;822;3722;965
447;931;931;202;1670
448;495;495;2911;1383
449;125;125;1758;437
450;380;380;958;2436
451;9387;9387;83;1522
452;28;28;3331;2152
453;147;147;1399;157
454;361;361;517;593
455;1163;1163;712;400
456;1551;1551;232;270
457;9622;9622;4933;2619
458;9636;9636;2044;630
459;3306;3306;3570;2399
460;3871;3871;1457;162
461;105;105;591;1175
462;535;535;4107;2350
463;915;915;1490;2692
464;124;124;1988;2608
465;310;310;1401;2831
466;1080;1080;1913;116
467;803;803;4178;1458
468;7465;7465;3401;1333
469;4141;4141;2905;2012
470;86;86;2349;280
471;877;877;194;1138
472;4832;4832;4082;2091
473;1064;1064;236;2699
474;228;228;1525;1449
475;3108;3108;2187;2064
476;1279;1279;3085;1518
477;9748;9748;3575;1871
478;489;489;793;2966
479;832;832;4272;2260
480;2557;2557;1629;2427
481;825;825;1161;55
482;1976;1976;2014;2559
483;3254;3254;1612;1962
484;69;69;2833;1304
485;125;125;2127;612
486;2179;2179;4084;758
487;5768;5768;13;1110
488;2146;2146;506;2471
489;9875;9875;3820;2714
490;1350;1350;1346;1340
491;1060;1060;1753;1552
492;3388;3388;2272;665
493;3205;3205;4516;1467
494;576;576;1344;167
495;1527;1527;1618;653
496;2032;2032;4752;1702
497;1100;1100;1918;2193
498;939;939;4538;2055
499;6173;6173;3515;1589
500;125;125;3810;1630
501;559;559;4545;2507
502;818;818;1801;336
503;399;399;5;2371
504;1475;1475;4410;156
505;9800;9800;764;1298
506;1185;1185;1002;2432
507;9942;9942;3094;2454
508;526;526;4874;1709
509;264;264;3331;1529
510;2119;2119;2628;1883
511;529;529;1657;1400
512;623;623;0;2653
513;9159;9159;4140;1371
514;282;282;2772;2972
515;377;377;1941;107
516;2505;2505;295;1617
517;1844;1844;3577;387
518;211;211;2494;1388
519;244;244;3658;1996
520;9853;9853;4862;2072
521;320;320;2317;2007
522;42;42;1899;1988
523;1809;1809;3671;1620
524;1802;1802;4582;0
525;9597;9597;1559;672
526;9403;9403;595;1729
527;125;125;2923;473
528;1189;1189;4567;623
529;913;913;3892;2531
530;2188;2188;4907;795
531;548;548;2436;362
532;470;470;1167;2325
533;1067;1067;4038;2816
534;9592;9592;2278;1376
535;24;24;462;630
536;9947;9947;2085;2921
537;348;348;4360;2719
538;96;96;2009;187
539;9559;9559;2202;1806
540;191;191;2068;6
541;2122;2122;1125;1180
542;1385;1385;990;1304
543;1418;1418;139;2401
544;619;619;2176;941
545;835;835;1191;830
546;9944;9944;4689;2940
547;749;749;2614;1899
548;4593;4593;4500;2295
549;9709;9709;2575;1495
550;889;889;1048;59
551;177;177;3042;2037
552;493;493;2257;1314
553;265;265;3260;804
554;9623;9623;4676;59
555;94;94;1197;2517
556;1432;1432;1910;2624
557;9703;9703;873;519
558;9683;9683;2220;1717
559;9388;9388;3447;1699
560;3808;3808;3815;1427
561;9732;9732;2842;825
562;5623;5623;1435;1808
563;1920;1920;4202;2924
564;255;255;4968;914
565;558;558;895;1167
566;9801;9801;1461;2558
567;784;784;2620;1584
568;561;561;1861;1276
569;9695;9695;2310;740
570;884;884;4856;51
571;1055;1055;935;389
572;1269;1269;1568;1429
573;9537;9537;292;1582
574;2509;2509;1590;1382
575;267;267;3737;815
576;937;937;1327;767
577;8982;8982;1759;2606
578;1084;1084;1495;1046
579;167;167;3390;789
580;1918;1918;1870;732
581;4310;4310;2982;2831
582;4861;4861;3423;1178
583;9913;9913;1992;2128
584;1609;1609;2844;2471
585;1619;1619;1865;1758
586;633;633;178;2048
587;947;947;2907;1520
588;9812;9812;4362;2756
589;306;306;1080;1859
590;97;97;3552;1007
591;943;943;1211;2401
592;632;632;2139;0
593;422;422;3562;1001
594;1343;1343;3388;1489
595;3514;3514;4226;378
596;741;741;4690;2181
597;1627;1627;1788;2373
598;132;132;172;1381
599;1779;1779;1281;1487
600;9456;9456;4731;2775
601;621;621;2069;1273
602;125;125;752;1355
603;383;383;2189;622
604;442;442;2719;1554
605;55;55;112;1443
606;9682;9682;1474;2671
607;1425;1425;1965;608
608;607;607;1670;2733
609;180;180;939;2423
610;9448;9448;4871;2245
611;918;918;150;1750
612;1294;1294;4379;18
613;1748;1748;0;2474
614;2215;2215;3831;927
615;668;668;1576;966
616;1690;1690;832;1597
617;440;440;4419;2647
618;188;188;4444;2680
619;961;961;1358;452
620;1016;1016;3103;2156
621;719;719;0;2119
622;260;260;716;1037
623;9642;9642;3554;1829
624;1774;1774;3258;2418
625;9966;9966;781;2734
626;1562;1562;3758;651
627;32;32;3645;2388
628;479;479;3797;2940
629;9306;9306;3006;1203
630;1358;1358;1904;2201
631;755;755;2364;1442
632;240;240;4047;2387
633;9391;9391;4540;1118
634;761;761;1587;1271
635;316;316;213;2517
636;1155;1155;3660;2377
637;1293;1293;4802;2208
638;460;460;2229;2625
639;431;431;1234;684
640;767;767;4274;2801
641;708;708;2731;1150
642;9962;9962;390;2316
643;2267;2267;3214;2098
644;33;33;1237;511
645;114;114;3423;109
646;2783;2783;1210;989
647;152;152;3402;2928
648;439;439;1832;74
649;2133;2133;3309;523
650;400;400;1986;1782
651;1171;1171;2556;2535
652;2150;2150;4807;2693
653;284;284;245;929
654;243;243;429;2332
655;758;758;2070;655
656;9957;9957;565;235
657;1682;1682;1176;2527
658;142;142;3811;1205
659;346;346;4972;1821
660;557;557;3431;792
661;1326;1326;4074;283
662;1575;1575;0;669
663;9956;9956;1316;1529
664;1213;1213;3469;222
665;50;50;60;803
666;849;849;4306;2364
667;9518;9518;1892;1900
668;690;690;330;1202
669;1254;1254;3564;1411
670;183;183;4166;1589
671;1386;1386;171;0
672;38;38;1774;2389
673;168;168;3604;22
674;625;625;3185;1995
675;164;164;170;651
676;318;318;3628;1005
677;824;824;2712;2804
678;728;728;2502;1940
679;659;659;2317;1318
680;2009;2009;4836;2308
681;4684;4684;4572;1744
682;458;458;356;724
683;159;159;1812;2314
684;775;775;487;2417
685;9544;9544;1019;2421
686;691;691;4349;2666
687;1887;1887;2558;1749
688;252;252;3801;1457
689;1367;1367;4111;1786
690;66;66;4517;616
691;125;125;4649;2281
692;236;236;2483;2851
693;990;990;990;1003
694;184;184;2258;803
695;214;214;2804;2893
696;2593;2593;199;2518
697;225;225;1414;481
698;1460;1460;1922;786
699;412;412;3154;1875
700;1025;1025;1932;2708
701;499;499;1530;746
702;205;205;879;2089
703;594;594;4838;1725
704;290;290;2667;1663
705;1133;1133;3138;1934
706;1638;1638;211;2393
707;288;288;3953;2513
708;9412;9412;1622;698
709;6604;6604;75;277
710;3493;3493;1801;1326
711;283;283;4358;852
712;895;895;3063;1296
713;1560;1560;3860;1209
714;516;516;3976;1897
715;1533;1533;400;76
716;9906;9906;3074;68
717;100;100;2261;969
718;9818;9818;829;1252
719;5679;5679;2449;2108
720;567;567;712;556
721;300;300;1747;2054
722;9588;9588;3091;906
723;505;505;1220;113
724;510;510;4048;586
725;9741;9741;4518;2131
726;475;475;2688;1739
727;3106;3106;784;1386
728;9813;9813;1345;2219
729;1259;1259;380;2103
730;2542;2542;4971;1134
731;1176;1176;2214;524
732;342;342;790;2018
733;9463;9463;4349;64
734;928;928;384;1610
735;661;661;3305;1561
736;1927;1927;3692;2656
737;319;319;519;1999
738;109;109;0;651
739;1377;1377;4146;482
740;2656;2656;2350;28
741;3415;3415;808;152
742;19;19;396;1051
743;1883;1883;936;1179
744;1565;1565;3725;460
745;347;347;2309;2765
746;2767;2767;158;984
747;4023;4023;1585;1641
748;480;480;3623;2106
749;2710;2710;2015;727
750;72;72;1858;2824
751;4532;4532;4730;1548
752;956;956;2938;2229
753;193;193;585;1678
754;799;799;4473;1318
755;9604;9604;2441;654
756;287;287;184;2840
757;2249;2249;3440;1975
758;9214;9214;4660;1138
759;9;9;790;2532
760;833;833;3150;195
761;187;187;449;1007
762;175;175;4428;294
763;608;608;2607;1595
764;896;896;1241;2144
765;2687;2687;105;802
766;406;406;4588;1834
767;1315;1315;3568;1231
768;9998;9998;3715;2600
769;3307;3307;3475;335
770;45;45;671;421
771;62;62;1708;1069
772;1057;1057;2554;318
773;9889;9889;3116;769
774;2787;2787;3479;2080
775;9946;9946;1641;404
776;363;363;316;1002
777;323;323;811;2728
778;274;274;4366;2654
779;9755;9755;3912;822
780;540;540;3889;1147
781;257;257;2932;97
782;9410;9410;4065;2280
783;1313;1313;3769;1492
784;894;894;4488;2279
785;870;870;650;2586
786;85;85;2032;1295
787;973;973;1629;339
788;2002;2002;1318;1747
789;9798;9798;1907;955
790;1436;1436;200;1722
791;9571;9571;4866;680
792;916;916;4033;860
793;1219;1219;4730;1119
794;74;74;995;287
795;4846;4846;1900;2021
796;1814;1814;1380;2859
797;174;174;2789;2457
798;2165;2165;4695;2035
799;3404;3404;3620;0
800;53;53;2721;2658
801;1107;1107;1591;930
802;641;641;2870;2753
803;125;125;148;2042
804;782;782;1343;1770
805;9696;9696;149;306
806;997;997;2175;1755
807;1331;1331;4822;1230
808;135;135;0;1459
809;1628;1628;2106;2598
810;5611;5611;2831;914
811;1545;1545;2125;2652
812;482;482;4373;112
813;1394;1394;4074;2321
814;9479;9479;747;316
815;1489;1489;1901;1385
816;3272;3272;217;97
817;299;299;1384;1727
818;3062;3062;658;1802
819;9819;9819;3119;2316
820;1450;1450;590;2558
821;933;933;3074;2508
822;7028;7028;2959;1495
823;1673;1673;2250;2485
824;76;76;1807;1645
825;378;378;3275;1614
826;490;490;806;2741
827;952;952;2675;208
828;469;469;2825;2199
829;797;797;2121;482
830;1957;1957;1578;59
831;2494;2494;261;545
832;9692;9692;2527;1546
833;1302;1302;1116;692
834;508;508;746;2997
835;88;88;1190;2893
836;9828;9828;2298;1394
837;3674;3674;62;1056
838;752;752;3917;510
839;9799;9799;2425;1186
840;90;90;4338;0
841;98;98;3476;524
842;1119;1119;2210;1356
843;730;730;4523;2836
844;1266;1266;3487;741
845;1327;1327;4783;832
846;7954;7954;827;1303
847;575;575;791;1609
848;2224;2224;3285;1359
849;680;680;2828;544
850;368;368;778;2735
851;465;465;516;190
852;723;723;721;293
853;219;219;4671;1056
854;2127;2127;4105;140
855;68;68;546;2477
856;2299;2299;4763;150
857;408;408;4342;2435
858;902;902;1062;268
859;2627;2627;1873;397
860;3060;3060;537;155
861;9948;9948;2475;565
862;311;311;4351;1546
863;172;172;2701;2031
864;823;823;527;977
865;9955;9955;2570;2539
866;371;371;4598;369
867;136;136;3257;1106
868;1333;1333;3328;2421
869;3732;3732;4558;2325
870;18;18;4604;423
871;2429;2429;155;2991
872;1091;1091;2468;2041
873;9980;9980;3233;1217
874;6824;6824;3781;616
875;953;953;2115;1792
876;199;199;863;1202
877;523;523;3436;2672
878;492;492;3763;753
879;386;386;2025;1652
880;1174;1174;2448;341
881;582;582;14;5
882;2545;2545;4391;1381
883;1156;1156;4998;2665
884;1441;1441;1343;2465
885;1228;1228;1062;291
886;1472;1472;4540;2766
887;212;212;2856;2489
888;613;613;2012;1406
889;1502;1502;200;1215
890;239;239;1427;2847
891;593;593;2956;457
892;522;522;4000;1125
893;1371;1371;2044;659
894;912;912;1888;354
895;153;153;1863;620
896;9721;9721;4126;1979
897;1131;1131;4509;2325
898;958;958;3996;1858
899;20;20;917;1203
900;44;44;184;463
901;4;4;2570;197
902;1666;1666;2464;2189
903;9475;9475;3727;2035
904;2556;2556;3224;120
905;2388;2388;622;2744
906;1985;1985;3048;1149
907;292;292;2488;2077
908;924;924;889;440
909;3708;3708;1989;1349
910;717;717;4683;1275
911;2579;2579;1326;478
912;9219;9219;579;1682
913;407;407;4038;1616
914;9823;9823;4425;55
915;810;810;523;149
916;281;281;3085;2185
917;568;568;4353;1881
918;930;930;1358;2567
919;313;313;4465;686
920;1359;1359;3030;2773
921;1082;1082;1741;880
922;376;376;1244;2701
923;1453;1453;3128;1205
924;1906;1906;3131;2479
925;425;425;1647;2966
926;9687;9687;1156;1866
927;445;445;424;1382
928;9777;9777;1345;862
929;312;312;1917;2997
930;113;113;2990;2813
931;2786;2786;1354;1877
932;994;994;4441;814
933;520;520;2845;2551
934;9829;9829;1840;1188
935;828;828;4878;144
936;141;141;2551;817
937;181;181;663;2346
938;702;702;1774;2544
939;1668;1668;720;2721
940;125;125;3014;2142
941;536;536;2051;689
942;1989;1989;1967;2049
943;1588;1588;22;57
944;429;429;517;2941
945;843;843;100;2368
946;1592;1592;2377;1776
947;9759;9759;4962;2509
948;463;463;2619;604
949;9584;9584;1365;205
950;6267;6267;3779;1436
951;9341;9341;4773;97
952;1248;1248;3150;2759
953;685;685;4531;1172
954;1701;1701;2887;1431
955;3968;3968;3443;2584
956;9523;9523;1326;496
957;1217;1217;4337;983
958;2385;2385;596;2557
959;534;534;1576;154
960;1898;1898;4467;878
961;1458;1458;2624;2768
962;595;595;1143;1214
963;663;663;3973;443
964;1138;1138;4000;1536
965;1306;1306;3329;2398
966;373;373;1886;2665
967;1961;1961;2734;2132
968;1071;1071;2197;428
969;1336;1336;4548;2911
970;357;357;2973;2333
971;9716;9716;2421;2839
972;117;117;2578;2338
973;9337;9337;638;2846
974;451;451;1450;1544
975;13;13;979;2083
976;800;800;4775;1831
977;853;853;1221;2643
978;259;259;2610;1265
979;1474;1474;3030;110
980;2451;2451;4271;1190
981;9309;9309;1194;2357
982;1027;1027;2805;778
983;681;681;4981;657
984;1531;1531;3138;1560
985;715;715;3217;2716
986;1943;1943;3204;2119
987;1646;1646;4910;2642
988;538;538;4958;1119
989;1073;1073;3397;1605
990;9910;9910;3552;2648
991;675;675;3214;2834
992;57;57;66;2790
993;1541;1541;197;2389
994;254;254;1254;1843
995;1382;1382;390;2375
996;9974;9974;908;2475
997;1557;1557;2994;1605
998;801;801;1023;1522
999;139;139;2189;542
1000;374;374;3215;2704
1001;428;428;4643;2645
1002;652;652;2764;2081
1003;266;266;3071;693
1004;2130;2130;3392;0
1005;649;649;1357;872
1006;233;233;2194;1598
1007;695;695;2512;760
1008;9658;9658;3080;2913
1009;1586;1586;1908;2628
1010;581;581;3668;2348
1011;544;544;104;752
1012;421;421;1726;854
1013;579;579;2567;2719
1014;417;417;2306;2447
1015;616;616;3273;1965
1016;9884;9884;4819;1522
1017;774;774;1162;1990
1018;1009;1009;834;557
1019;700;700;782;1884
1020;2284;2284;124;1820
1021;2743;2743;1977;279
1022;9847;9847;2777;22
1023;687;687;3801;1012
1024;3809;3809;996;1823
1025;3588;3588;4759;263
1026;272;272;2355;2499
1027;3252;3252;2381;49
1028;664;664;0;2949
1029;2;2;4385;1003
1030;962;962;1060;2169
1031;1704;1704;71;2608
1032;1407;1407;1781;226
1033;2131;2131;198;1121
1034;9577;9577;421;722
1035;917;917;4816;407
1036;7871;7871;4628;1545
1037;158;158;3430;275
1038;9548;9548;4734;85
1039;765;765;1588;2785
1040;815;815;1780;2963
1041;689;689;1022;1955
1042;1383;1383;692;2206
1043;1463;1463;1830;13
1044;1516;1516;3050;1772
1045;305;305;4729;852
1046;125;125;3447;1794
1047;483;483;1487;115
1048;919;919;2499;343
1049;160;160;2892;424
1050;1643;1643;2982;320
1051;1045;1045;571;385
1052;1301;1301;4746;1918
1053;679;679;2160;2722
1054;879;879;240;2702
1055;49;49;2064;263
1056;756;756;1238;2681
1057;1601;1601;0;1633
1058;1243;1243;1866;257
1059;353;353;3964;430
1060;9025;9025;2075;1373
1061;2128;2128;3634;1549
1062;210;210;4003;811
1063;1026;1026;4814;1910
1064;125;125;3128;459
1065;1663;1663;2019;2740
1066;658;658;1836;526
1067;9473;9473;1887;2733
1068;2169;2169;4906;1996
1069;9261;9261;1304;2040
1070;162;162;2752;420
1071;2193;2193;2679;1246
1072;9903;9903;4843;1904
1073;808;808;84;772
1074;1518;1518;4574;1921
1075;1299;1299;4054;2865
1076;1617;1617;4760;1073
1077;584;584;4433;8
1078;2022;2022;147;2240
1079;4936;4936;4727;971
1080;9923;9923;4072;0
1081;569;569;2549;1469
1082;515;515;3271;2384
1083;1289;1289;4857;2706
1084;434;434;4489;2525
1085;1322;1322;1402;682
1086;724;724;489;1784
1087;1421;1421;325;690
1088;786;786;4621;504
1089;1337;1337;4959;1420
1090;2674;2674;3357;458
1091;697;697;3578;726
1092;9737;9737;2761;2913
1093;1830;1830;4466;17
1094;1415;1415;2658;2655
1095;1208;1208;2955;1412
1096;560;560;2778;1414
1097;296;296;1209;1143
1098;1406;1406;2564;295
1099;1485;1485;4811;2555
1100;449;449;1214;2033
1101;2134;2134;2842;325
1102;481;481;3542;2062
1103;2452;2452;183;1119
1104;643;643;4748;1304
1105;589;589;213;4
